rank,symbol,company,market_cap,sector
289,EL,Estee Lauder Companies Inc,$27.61 Billion,Consumer Defensive
290,RJF,Raymond James Financial Inc.,$27.51 Billion,Financial Services
291,MTD,Mettler-Toledo International Inc,$27.49 Billion,Healthcare
292,DG,Dollar General Corporation,$27.35 Billion,Consumer Defensive
293,TDY,Teledyne Technologies Incorporated,$27.31 Billion,Technology
294,DXCM,DexCom Inc,$27.29 Billion,Healthcare
295,NTRS,Northern Trust Corporation,$27.00 Billion,Financial Services
296,FE,FirstEnergy Corporation,$27.00 Billion,Utilities
297,ATO,Atmos Energy Corporation,$26.98 Billion,Utilities
298,DTE,DTE Energy Company,$26.98 Billion,Utilities
299,IQV,IQVIA Holdings Inc,$26.60 Billion,Healthcare
300,LEN,Lennar Corporation,$26.48 Billion,Consumer Cyclical
301,NRG,NRG Energy Inc.,$26.39 Billion,Utilities
302,PHM,PulteGroup Inc,$26.21 Billion,Consumer Cyclical
303,CFG,"Citizens Financial Group, Inc.",$26.11 Billion,Financial Services
304,CNP,CenterPoint Energy Inc,$26.08 Billion,Utilities
305,SYF,Synchrony Financial,$25.85 Billion,Financial Services
306,PPL,PPL Corporation,$25.59 Billion,Utilities
307,AWK,American Water Works,$25.53 Billion,Utilities
308,ES,Eversource Energy,$25.45 Billion,Utilities
309,ON,ON Semiconductor Corporation,$25.42 Billion,Technology
310,CINF,Cincinnati Financial Corporation,$25.35 Billion,Financial Services
311,PPG,PPG Industries Inc,$24.88 Billion,Basic Materials
312,VRSK,Verisk Analytics Inc,$24.64 Billion,Industrials
313,LYV,Live Nation Entertainment Inc,$24.62 Billion,Communication Services
314,FIS,Fidelity National Information Services Inc,$24.55 Billion,Technology
315,JBL,Jabil Circuit Inc,$24.48 Billion,Technology
316,RF,Regions Financial Corporation,$24.43 Billion,Financial Services
317,STE,STERIS plc,$23.99 Billion,Healthcare
318,DVN,Devon Energy Corporation,$23.85 Billion,Energy
319,KEY,KeyCorp,$23.82 Billion,Financial Services
320,GIS,General Mills Inc,$23.80 Billion,Consumer Defensive
321,WSM,Williams-Sonoma Inc,$23.76 Billion,Consumer Cyclical
322,AVB,AvalonBay Communities Inc,$23.63 Billion,Real Estate
323,EFX,Equifax Inc,$23.48 Billion,Industrials
324,HUBB,Hubbell Inc,$23.46 Billion,Industrials
325,STLD,Steel Dynamics Inc,$23.28 Billion,Basic Materials
326,EXPE,Expedia Group Inc.,$23.14 Billion,Consumer Cyclical
327,CPAY,Corpay Inc,$23.08 Billion,Technology
328,FSLR,First Solar Inc,$22.93 Billion,Technology
329,IP,International Paper,$22.89 Billion,Consumer Cyclical
330,VLTO,Veralto Corporation,$22.84 Billion,Industrials
331,LUV,Southwest Airlines Company,$22.64 Billion,Industrials
332,EIX,Edison International,$22.51 Billion,Utilities
333,DLTR,Dollar Tree Inc,$22.50 Billion,Consumer Defensive
334,SW,Smurfit WestRock plc,$22.44 Billion,Consumer Cyclical
335,HUM,Humana Inc,$22.21 Billion,Healthcare
336,STZ,Constellation Brands Inc Class A,$22.16 Billion,Consumer Defensive
337,LH,Laboratory Corporation of America Holdings,$22.05 Billion,Healthcare
338,NOW,ServiceNow Inc,$21.92 Billion,Technology
339,CMS,CMS Energy Corporation,$21.81 Billion,Utilities
340,EQR,Equity Residential,$21.74 Billion,Real Estate
341,DRI,Darden Restaurants Inc,$21.37 Billion,Consumer Cyclical
342,CHRW,CH Robinson Worldwide Inc,$21.18 Billion,Industrials
343,SBAC,SBA Communications Corp,$21.04 Billion,Real Estate
344,DGX,Quest Diagnostics Incorporated,$20.89 Billion,Healthcare
345,NVR,NVR Inc,$20.74 Billion,Consumer Cyclical
346,CHD,Church & Dwight Company Inc,$20.50 Billion,Consumer Defensive
347,LDOS,Leidos Holdings Inc,$20.49 Billion,Technology
348,BRO,Brown & Brown Inc,$20.28 Billion,Financial Services
349,KHC,Kraft Heinz Co,$20.27 Billion,Consumer Defensive
350,BR,Broadridge Financial Solutions Inc,$20.22 Billion,Technology
351,TROW,T. Rowe Price Group Inc,$20.11 Billion,Financial Services
352,PKG,Packaging Corp of America,$19.97 Billion,Consumer Cyclical
353,FOXA,Fox Corp Class A,$19.95 Billion,Communication Services
354,NTAP,NetApp Inc,$19.90 Billion,Technology
355,NI,NiSource Inc,$19.89 Billion,Utilities
356,HSY,Hershey Co,$19.89 Billion,Consumer Defensive
357,VRSN,VeriSign Inc,$19.87 Billion,Technology
358,DOW,Dow Inc,$19.86 Billion,Basic Materials
359,ALB,Albemarle Corp,$19.81 Billion,Basic Materials
360,CHTR,Charter Communications Inc,$19.79 Billion,Communication Services
361,CNC,Centene Corp,$19.48 Billion,Healthcare
362,LULU,Lululemon Athletica Inc.,$19.15 Billion,Consumer Cyclical
363,CSGP,CoStar Group Inc,$19.13 Billion,Real Estate
364,WAT,Waters Corporation,$19.10 Billion,Healthcare
365,CTRA,Coterra Energy Inc,$18.94 Billion,Energy
366,SNA,Snap-On Inc,$18.89 Billion,Industrials
367,BG,Bunge Limited,$18.85 Billion,Consumer Defensive
368,PFG,Principal Financial Group Inc,$18.78 Billion,Financial Services
369,L,Loews Corp,$18.73 Billion,Financial Services
370,WY,Weyerhaeuser Company,$18.56 Billion,Real Estate
371,ZBH,Zimmer Biomet Holdings Inc,$18.53 Billion,Healthcare
372,IFF,International Flavors & Fragrances Inc,$18.37 Billion,Basic Materials
373,DD,Dupont De Nemours Inc,$18.35 Billion,Basic Materials
374,ROL,Rollins Inc,$18.27 Billion,Consumer Cyclical
375,PTC,PTC Inc,$18.20 Billion,Technology
376,LVS,Las Vegas Sands Corp,$17.88 Billion,Consumer Cyclical
377,EVRG,"Evergy, Inc.",$17.76 Billion,Utilities
378,APTV,Aptiv PLC,$17.44 Billion,Consumer Cyclical
379,GPC,Genuine Parts Co,$17.42 Billion,Consumer Cyclical
380,WST,West Pharmaceutical Services Inc,$17.38 Billion,Healthcare
381,TSN,Tyson Foods Inc,$17.35 Billion,Consumer Defensive
382,PODD,Insulet Corporation,$17.27 Billion,Healthcare
383,LNT,Alliant Energy Corp,$17.20 Billion,Utilities
384,HPQ,HP Inc,$16.92 Billion,Technology
385,FTV,Fortive Corp,$16.79 Billion,Technology
386,TXT,Textron Inc,$16.72 Billion,Industrials
387,WRB,W. R. Berkley Corp,$16.65 Billion,Financial Services
388,INCY,Incyte Corporation,$16.61 Billion,Healthcare
389,HOLX,Hologic Inc,$16.47 Billion,Healthcare
390,GPN,Global Payments Inc,$16.37 Billion,Industrials
391,LII,Lennox International Inc,$16.34 Billion,Industrials
392,CDW,CDW Corp,$16.23 Billion,Technology
393,ESS,Essex Property Trust Inc,$16.16 Billion,Real Estate
394,MRNA,Moderna Inc,$16.00 Billion,Healthcare
395,PNR,Pentair PLC,$15.99 Billion,Industrials
396,J,Jacobs Solutions Inc.,$15.99 Billion,Industrials
397,HII,Huntington Ingalls Industries Inc,$15.96 Billion,Industrials
398,COO,"The Cooper Companies, Inc",$15.94 Billion,Healthcare
399,JBHT,JB Hunt Transport Services Inc,$15.84 Billion,Industrials
